Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Assets
LP001228,Male,No,0.0,Not Graduate,No,265600,187082.0,10458.0,180.0,0.0,Urban,N,452682.0
LP001233,Male,Yes,1.0,Graduate,No,892250,0.0,25896.0,360.0,1.0,Urban,Y,892250.0
LP001238,Male,Yes,3.0,Not Graduate,Yes,589300,0.0,10375.0,60.0,1.0,Urban,Y,589300.0
LP001241,Female,No,0.0,Graduate,No,356900,0.0,11288.0,360.0,0.0,Semiurban,N,356900.0
LP001243,Male,Yes,0.0,Graduate,No,266264,254478.0,14276.0,360.0,1.0,Urban,Y,520742.0
LP001245,Male,Yes,2.0,Not Graduate,Yes,155625,155625.0,8051.0,360.0,1.0,Semiurban,Y,311250.0
LP001248,Male,No,0.0,Graduate,No,290500,0.0,6723.0,300.0,1.0,Semiurban,Y,290500.0
LP001250,Male,Yes,3.0,Not Graduate,No,394665,0.0,7885.0,,0.0,Semiurban,N,394665.0
LP001253,Male,Yes,3.0,Graduate,Yes,437078,147242.0,15521.0,360.0,1.0,Semiurban,Y,584320.0
LP001255,Male,No,0.0,Graduate,No,311250,0.0,9379.0,480.0,1.0,Urban,N,311250.0
LP001256,Male,No,0.0,Graduate,No,311250,394250.0,14608.0,360.0,1.0,Urban,N,705500.0
LP001259,Male,Yes,1.0,Graduate,Yes,83000,250826.0,9130.0,360.0,1.0,Urban,N,333826.0
LP001263,Male,Yes,3.0,Graduate,No,262861,332000.0,14940.0,300.0,0.0,Semiurban,N,594861.0
LP001264,Male,Yes,3.0,Not Graduate,Yes,276639,179778.0,10790.0,360.0,,Semiurban,Y,456417.0
LP001265,Female,No,0.0,Graduate,No,319218,0.0,9213.0,360.0,1.0,Semiurban,Y,319218.0
LP001266,Male,Yes,1.0,Graduate,Yes,198785,0.0,,360.0,1.0,Semiurban,Y,198785.0
LP001267,Female,Yes,2.0,Graduate,No,114374,156123.0,13861.0,360.0,1.0,Urban,N,270497.0
LP001273,Male,Yes,0.0,Graduate,No,498000,186750.0,21995.0,360.0,,Semiurban,N,684750.0
LP001275,Male,Yes,1.0,Graduate,No,331004,0.0,4150.0,240.0,1.0,Urban,Y,331004.0
LP001279,Male,No,0.0,Graduate,No,196378,210073.0,11288.0,360.0,1.0,Semiurban,Y,406451.0
LP001280,Male,Yes,2.0,Not Graduate,No,276639,166000.0,8217.0,360.0,,Semiurban,Y,442639.0
LP001282,Male,Yes,0.0,Graduate,No,207500,175794.0,8632.0,360.0,1.0,Semiurban,Y,383294.0
LP001289,Male,No,0.0,Graduate,No,710978,0.0,17430.0,360.0,1.0,Urban,Y,710978.0
LP001310,Male,Yes,0.0,Graduate,No,472685,345861.0,14525.0,360.0,1.0,Semiurban,Y,818546.0
LP001316,Male,Yes,0.0,Graduate,No,245514,240700.0,10873.0,360.0,1.0,Semiurban,Y,486214.0
LP001318,Male,Yes,2.0,Graduate,No,518750,469282.0,15604.0,180.0,1.0,Semiurban,Y,988032.0
LP001319,Male,Yes,2.0,Not Graduate,No,271659,151060.0,6723.0,360.0,1.0,Urban,Y,422719.0
LP001322,Male,No,0.0,Graduate,No,343039,0.0,10126.0,360.0,1.0,Semiurban,Y,343039.0
LP001325,Male,No,0.0,Not Graduate,No,300460,0.0,2075.0,120.0,1.0,Semiurban,Y,300460.0
LP001326,Male,No,0.0,Graduate,Yes,562906,0.0,,360.0,,Urban,N,562906.0
LP001327,Female,Yes,0.0,Graduate,No,206172,191066.0,11371.0,360.0,1.0,Semiurban,Y,397238.0
LP001333,Male,Yes,0.0,Graduate,No,164091,82751.0,4150.0,360.0,1.0,Semiurban,Y,246842.0
LP001334,Male,Yes,0.0,Not Graduate,No,347604,0.0,9545.0,180.0,1.0,Semiurban,Y,347604.0
LP001343,Male,Yes,0.0,Graduate,No,145997,293903.0,10873.0,360.0,1.0,Semiurban,Y,439900.0
LP001345,Male,Yes,2.0,Not Graduate,No,355904,270829.0,11039.0,180.0,1.0,Urban,Y,626733.0
LP001349,Male,No,0.0,Graduate,No,401969,315898.0,12533.0,360.0,1.0,Semiurban,Y,717867.0
LP001350,Male,Yes,,Graduate,No,1132950,0.0,,360.0,1.0,Urban,Y,1132950.0
LP001356,Male,Yes,0.0,Graduate,No,386116,297389.0,,360.0,1.0,Semiurban,Y,683505.0
LP001367,Male,Yes,1.0,Graduate,No,253316,85490.0,8300.0,360.0,1.0,Urban,Y,338806.0
LP001369,Male,Yes,2.0,Graduate,No,947611,93458.0,18675.0,360.0,1.0,Urban,Y,1041069.0
LP001370,Male,No,0.0,Not Graduate,Yes,608639,0.0,9960.0,360.0,1.0,Rural,N,608639.0
LP001379,Male,Yes,2.0,Graduate,No,315400,298800.0,17928.0,360.0,0.0,Urban,N,614200.0
LP001384,Male,Yes,3.0,Not Graduate,No,171893,62582.0,7802.0,480.0,1.0,Semiurban,Y,234475.0
LP001385,Male,No,0.0,Graduate,No,441228,0.0,11288.0,360.0,1.0,Urban,Y,441228.0
LP001387,Female,Yes,0.0,Graduate,Yes,243107,193639.0,11537.0,360.0,1.0,Semiurban,Y,436746.0
LP001391,Male,Yes,0.0,Not Graduate,No,296476,341462.0,12616.0,,0.0,Rural,N,637938.0
LP001392,Female,No,1.0,Graduate,Yes,618433,0.0,,360.0,1.0,Semiurban,Y,618433.0
LP001398,Male,No,0.0,Graduate,Yes,419150,0.0,9794.0,360.0,1.0,Semiurban,Y,419150.0
LP001401,Male,Yes,1.0,Graduate,No,1210389,0.0,15355.0,180.0,1.0,Rural,Y,1210389.0
LP001404,Female,Yes,0.0,Graduate,No,262861,189489.0,12782.0,360.0,1.0,Semiurban,Y,452350.0
LP001405,Male,Yes,1.0,Graduate,No,183762,116034.0,7055.0,360.0,,Urban,Y,299796.0
LP001421,Male,Yes,0.0,Graduate,No,462144,177786.0,14525.0,360.0,1.0,Rural,N,639930.0
LP001422,Female,No,0.0,Graduate,No,863864,0.0,21497.0,360.0,1.0,Urban,Y,863864.0
LP001426,Male,Yes,,Graduate,No,470361,221361.0,14940.0,360.0,1.0,Rural,Y,691722.0
LP001430,Female,No,0.0,Graduate,No,345778,0.0,3652.0,360.0,1.0,Semiurban,Y,345778.0
LP001431,Female,No,0.0,Graduate,No,177371,745340.0,11371.0,360.0,0.0,Semiurban,Y,922711.0
LP001432,Male,Yes,2.0,Graduate,No,245431,0.0,6723.0,360.0,1.0,Semiurban,Y,245431.0
LP001439,Male,Yes,0.0,Not Graduate,No,356900,167162.0,16102.0,360.0,1.0,Rural,Y,524062.0
LP001443,Female,No,0.0,Graduate,No,306436,0.0,7719.0,360.0,,Rural,Y,306436.0
LP001449,Male,No,0.0,Graduate,No,320795,136120.0,,360.0,1.0,Rural,Y,456915.0
LP001451,Male,Yes,1.0,Graduate,Yes,872579,319550.0,13280.0,180.0,0.0,Urban,N,1192129.0
LP001465,Male,Yes,0.0,Graduate,No,504640,213227.0,15106.0,360.0,,Rural,N,717867.0
LP001469,Male,No,0.0,Graduate,Yes,1673778,0.0,53950.0,480.0,,Urban,Y,1673778.0
LP001473,Male,No,0.0,Graduate,No,167162,160107.0,6142.0,360.0,1.0,Urban,Y,327269.0
LP001478,Male,No,0.0,Graduate,No,225594,0.0,5810.0,360.0,1.0,Semiurban,Y,225594.0
LP001482,Male,Yes,0.0,Graduate,Yes,287097,0.0,2075.0,120.0,1.0,Semiurban,Y,287097.0
LP001487,Male,No,0.0,Graduate,No,406285,0.0,8466.0,360.0,1.0,Semiurban,Y,406285.0
LP001488,Male,Yes,3.0,Graduate,No,332000,643250.0,24070.0,360.0,1.0,Semiurban,N,975250.0
LP001489,Female,Yes,0.0,Graduate,No,380389,0.0,6972.0,360.0,1.0,Rural,N,380389.0
LP001491,Male,Yes,2.0,Graduate,Yes,275228,290500.0,7304.0,360.0,1.0,Urban,Y,565728.0
LP001492,Male,No,0.0,Graduate,No,1244917,0.0,20086.0,360.0,0.0,Semiurban,N,1244917.0
LP001493,Male,Yes,2.0,Not Graduate,No,348600,118690.0,10707.0,360.0,1.0,Rural,N,467290.0
LP001497,Male,Yes,2.0,Graduate,No,418486,172889.0,15355.0,360.0,1.0,Rural,N,591375.0
LP001498,Male,No,0.0,Graduate,No,449611,0.0,13944.0,360.0,1.0,Urban,Y,449611.0
LP001504,Male,No,0.0,Graduate,Yes,576850,0.0,14525.0,180.0,1.0,Semiurban,Y,576850.0
LP001507,Male,Yes,0.0,Graduate,No,223934,168822.0,10126.0,360.0,1.0,Semiurban,Y,392756.0
LP001508,Male,Yes,2.0,Graduate,No,975831,0.0,15521.0,180.0,1.0,Urban,Y,975831.0
LP001514,Female,Yes,0.0,Graduate,No,193390,372338.0,8300.0,360.0,1.0,Semiurban,Y,565728.0
LP001516,Female,Yes,2.0,Graduate,No,1233878,0.0,5810.0,360.0,1.0,Urban,Y,1233878.0
LP001518,Male,Yes,1.0,Graduate,No,127654,118275.0,2490.0,360.0,1.0,Urban,Y,245929.0
LP001519,Female,No,0.0,Graduate,No,830000,138278.0,18675.0,360.0,1.0,Rural,N,968278.0
LP001520,Male,Yes,0.0,Graduate,No,403380,68890.0,10375.0,360.0,1.0,Semiurban,Y,472270.0
LP001528,Male,No,0.0,Graduate,No,520991,0.0,9794.0,360.0,0.0,Rural,N,520991.0
LP001529,Male,Yes,0.0,Graduate,Yes,213891,311250.0,12616.0,360.0,1.0,Rural,Y,525141.0
LP001531,Male,No,0.0,Graduate,No,760778,0.0,20252.0,360.0,1.0,Urban,N,760778.0
LP001532,Male,Yes,2.0,Not Graduate,No,189323,0.0,9379.0,360.0,1.0,Rural,N,189323.0
LP001535,Male,No,0.0,Graduate,No,270082,0.0,4150.0,360.0,1.0,Urban,Y,270082.0
LP001536,Male,Yes,3.0,Graduate,No,3319917,0.0,49800.0,180.0,0.0,Semiurban,Y,3319917.0
LP001541,Male,Yes,1.0,Graduate,No,498000,0.0,13280.0,360.0,,Rural,Y,498000.0
LP001543,Male,Yes,1.0,Graduate,No,791654,0.0,15521.0,360.0,1.0,Urban,Y,791654.0
LP001546,Male,No,0.0,Graduate,Yes,247340,172889.0,9960.0,360.0,1.0,Rural,Y,420229.0
LP001552,Male,Yes,0.0,Graduate,No,380389,466875.0,21165.0,360.0,1.0,Semiurban,Y,847264.0
LP001560,Male,Yes,0.0,Not Graduate,No,154629,86403.0,8134.0,360.0,1.0,Semiurban,Y,241032.0
LP001562,Male,Yes,0.0,Graduate,No,658439,0.0,22825.0,360.0,1.0,Urban,N,658439.0
LP001565,Male,Yes,1.0,Graduate,No,256387,106240.0,10043.0,360.0,0.0,Semiurban,N,362627.0
LP001570,Male,Yes,2.0,Graduate,No,345861,120101.0,13114.0,360.0,1.0,Rural,Y,465962.0
LP001572,Male,Yes,0.0,Graduate,No,773809,0.0,6225.0,180.0,1.0,Urban,Y,773809.0
LP001574,Male,Yes,0.0,Graduate,No,307681,262778.0,15106.0,,1.0,Rural,Y,570459.0
LP001577,Female,Yes,0.0,Graduate,No,380389,0.0,9296.0,360.0,1.0,Rural,N,380389.0
LP001578,Male,Yes,0.0,Graduate,No,202437,276639.0,10707.0,360.0,1.0,Rural,Y,479076.0
LP001579,Male,No,0.0,Graduate,No,185671,0.0,5229.0,480.0,0.0,Semiurban,N,185671.0
LP001580,Male,Yes,2.0,Graduate,No,664000,0.0,16600.0,360.0,1.0,Semiurban,Y,664000.0
LP001581,Male,Yes,0.0,Not Graduate,Yes,151060,146827.0,7885.0,360.0,1.0,Rural,Y,297887.0
LP001586,Male,Yes,3.0,Not Graduate,No,292326,0.0,6723.0,180.0,1.0,Rural,N,292326.0
LP001594,Male,Yes,0.0,Graduate,No,473764,466875.0,15521.0,360.0,1.0,Semiurban,Y,940639.0
LP001603,Male,Yes,0.0,Not Graduate,Yes,360552,61088.0,7221.0,360.0,1.0,Semiurban,N,421640.0
LP001606,Male,Yes,0.0,Graduate,No,290251,163012.0,9628.0,360.0,1.0,Rural,Y,453263.0
LP001608,Male,Yes,2.0,Graduate,No,169735,134377.0,8383.0,360.0,1.0,Rural,Y,304112.0
LP001610,Male,Yes,3.0,Graduate,No,457828,937900.0,41085.0,360.0,0.0,Semiurban,N,1395728.0
LP001616,Male,Yes,1.0,Graduate,No,311250,0.0,9628.0,360.0,1.0,Semiurban,Y,311250.0
LP001630,Male,No,0.0,Not Graduate,No,193639,120433.0,8466.0,480.0,0.0,Urban,N,314072.0
LP001633,Male,Yes,1.0,Graduate,No,531200,601750.0,14940.0,360.0,0.0,Urban,N,1132950.0
LP001634,Male,No,0.0,Graduate,No,159028,420229.0,5561.0,360.0,,Rural,N,579257.0
LP001636,Male,Yes,0.0,Graduate,No,381800,0.0,6059.0,180.0,1.0,Semiurban,Y,381800.0
LP001637,Male,Yes,1.0,Graduate,No,2809218,0.0,21580.0,360.0,1.0,Semiurban,N,2809218.0
LP001639,Female,Yes,0.0,Graduate,No,300875,0.0,8964.0,360.0,1.0,Semiurban,Y,300875.0
LP001640,Male,Yes,0.0,Graduate,Yes,3249201,394250.0,9960.0,360.0,1.0,Semiurban,Y,3643451.0
LP001641,Male,Yes,1.0,Graduate,Yes,180774,0.0,5478.0,300.0,0.0,Rural,N,180774.0
LP001643,Male,Yes,0.0,Graduate,No,197789,177454.0,4814.0,360.0,,Rural,Y,375243.0
LP001647,Male,Yes,0.0,Graduate,No,774224,0.0,15604.0,180.0,1.0,Rural,Y,774224.0
LP001653,Male,No,0.0,Not Graduate,No,405455,0.0,3984.0,360.0,1.0,Rural,Y,405455.0
LP001656,Male,No,0.0,Graduate,No,996000,0.0,13612.0,360.0,1.0,Semiurban,N,996000.0
LP001657,Male,Yes,0.0,Not Graduate,No,500739,0.0,13280.0,360.0,1.0,Urban,N,500739.0
LP001658,Male,No,0.0,Graduate,No,320214,0.0,6308.0,360.0,1.0,Semiurban,Y,320214.0
LP001664,Male,No,0.0,Graduate,No,347853,0.0,9960.0,360.0,1.0,Rural,Y,347853.0
LP001665,Male,Yes,1.0,Graduate,No,259375,214389.0,14110.0,360.0,1.0,Semiurban,N,473764.0
LP001666,Male,No,0.0,Graduate,No,691639,311250.0,15521.0,360.0,1.0,Rural,Y,1002889.0
LP001669,Female,No,0.0,Not Graduate,No,158281,196295.0,9960.0,,1.0,Urban,Y,354576.0
LP001671,Female,Yes,0.0,Graduate,No,283528,233728.0,9379.0,360.0,,Semiurban,Y,517256.0
LP001673,Male,No,0.0,Graduate,Yes,913000,0.0,6889.0,360.0,1.0,Urban,N,913000.0
LP001674,Male,Yes,1.0,Not Graduate,No,215800,207500.0,7470.0,360.0,1.0,Semiurban,Y,423300.0
LP001677,Male,No,2.0,Graduate,No,408609,0.0,13778.0,360.0,0.0,Semiurban,Y,408609.0
LP001682,Male,Yes,3.0,Not Graduate,No,331336,0.0,,180.0,1.0,Urban,N,331336.0
LP001688,Male,Yes,1.0,Not Graduate,No,290500,89889.0,11205.0,360.0,1.0,Urban,Y,380389.0
LP001691,Male,Yes,2.0,Not Graduate,No,325111,0.0,10292.0,360.0,1.0,Semiurban,Y,325111.0
LP001692,Female,No,0.0,Not Graduate,No,365864,0.0,9960.0,360.0,1.0,Semiurban,Y,365864.0
LP001693,Female,No,0.0,Graduate,No,269252,0.0,6640.0,360.0,1.0,Urban,Y,269252.0
LP001698,Male,No,0.0,Not Graduate,No,329925,210073.0,4565.0,360.0,1.0,Rural,Y,539998.0
LP001699,Male,No,0.0,Graduate,No,205757,0.0,4897.0,360.0,1.0,Urban,Y,205757.0
LP001702,Male,No,0.0,Graduate,No,283694,0.0,10541.0,360.0,1.0,Semiurban,N,283694.0
LP001708,Female,No,0.0,Graduate,No,830000,0.0,17762.0,360.0,1.0,Semiurban,N,830000.0
LP001711,Male,Yes,3.0,Graduate,No,284690,103750.0,10624.0,360.0,0.0,Semiurban,N,388440.0
LP001713,Male,Yes,1.0,Graduate,Yes,646321,0.0,19920.0,360.0,1.0,Urban,Y,646321.0
LP001715,Male,Yes,3.0,Not Graduate,Yes,473349,0.0,10790.0,360.0,1.0,Rural,Y,473349.0
LP001716,Male,Yes,0.0,Graduate,No,263359,250743.0,11371.0,360.0,1.0,Urban,Y,514102.0
LP001720,Male,Yes,3.0,Not Graduate,No,319550,81589.0,8300.0,360.0,1.0,Semiurban,Y,401139.0
LP001722,Male,Yes,0.0,Graduate,No,12450,149400.0,11205.0,360.0,1.0,Rural,N,161850.0
LP001726,Male,Yes,0.0,Graduate,No,309341,147325.0,10873.0,360.0,1.0,Semiurban,Y,456666.0
LP001732,Male,Yes,2.0,Graduate,Yes,415000,0.0,5976.0,360.0,0.0,Semiurban,N,415000.0
LP001734,Female,Yes,2.0,Graduate,No,355489,197789.0,10541.0,360.0,,Semiurban,Y,553278.0
LP001736,Male,Yes,0.0,Graduate,No,184343,0.0,4980.0,360.0,0.0,Urban,N,184343.0
LP001743,Male,Yes,2.0,Graduate,No,332747,142511.0,9628.0,360.0,1.0,Semiurban,Y,475258.0
LP001744,Male,No,0.0,Graduate,No,246593,231653.0,11952.0,360.0,1.0,Semiurban,Y,478246.0
LP001749,Male,Yes,0.0,Graduate,No,628974,83830.0,14525.0,,1.0,Semiurban,Y,712804.0
LP001750,Male,Yes,0.0,Graduate,No,518750,0.0,10624.0,360.0,1.0,Semiurban,Y,518750.0
LP001751,Male,Yes,0.0,Graduate,No,269750,0.0,14110.0,360.0,1.0,Rural,N,269750.0
LP001754,Male,Yes,,Not Graduate,Yes,393005,0.0,11454.0,360.0,1.0,Urban,N,393005.0
LP001758,Male,Yes,2.0,Graduate,No,518750,140685.0,17430.0,360.0,1.0,Semiurban,Y,659435.0
LP001761,Male,No,0.0,Graduate,Yes,531200,0.0,16600.0,360.0,1.0,Rural,Y,531200.0
LP001765,Male,Yes,1.0,Graduate,No,206753,170482.0,8632.0,360.0,1.0,Semiurban,Y,377235.0
LP001768,Male,Yes,0.0,Graduate,Yes,308428,0.0,3486.0,180.0,1.0,Rural,Y,308428.0
LP001770,Male,No,0.0,Not Graduate,No,264687,215634.0,9960.0,,1.0,Rural,Y,480321.0
LP001776,Female,No,0.0,Graduate,No,691639,0.0,23240.0,360.0,1.0,Semiurban,Y,691639.0
LP001778,Male,Yes,1.0,Graduate,No,261865,147657.0,11620.0,360.0,1.0,Semiurban,Y,409522.0
LP001784,Male,Yes,1.0,Graduate,No,456500,104580.0,14110.0,360.0,1.0,Rural,Y,561080.0
LP001786,Male,Yes,0.0,Graduate,Yes,476918,0.0,21165.0,360.0,,Urban,N,476918.0
LP001788,Female,No,0.0,Graduate,Yes,287429,0.0,10126.0,360.0,,Urban,Y,287429.0
LP001790,Female,No,1.0,Graduate,No,316396,0.0,9296.0,360.0,1.0,Rural,Y,316396.0
LP001792,Male,Yes,1.0,Graduate,No,275145,0.0,7968.0,360.0,1.0,Semiurban,Y,275145.0
LP001798,Male,Yes,2.0,Graduate,No,482977,415000.0,9960.0,360.0,1.0,Rural,Y,897977.0
LP001800,Male,Yes,1.0,Not Graduate,No,208330,164589.0,11620.0,180.0,1.0,Urban,N,372919.0
LP001806,Male,No,0.0,Graduate,No,246095,473183.0,12865.0,60.0,1.0,Urban,Y,719278.0
LP001807,Male,Yes,2.0,Graduate,Yes,518750,107900.0,8964.0,360.0,1.0,Rural,Y,626650.0
LP001811,Male,Yes,0.0,Not Graduate,No,282698,366611.0,10209.0,360.0,1.0,Semiurban,Y,649309.0
LP001813,Male,No,0.0,Graduate,Yes,502150,359639.0,9960.0,180.0,1.0,Urban,N,861789.0
LP001814,Male,Yes,2.0,Graduate,No,805349,0.0,9296.0,360.0,1.0,Urban,Y,805349.0
LP001819,Male,Yes,1.0,Not Graduate,No,548464,0.0,11371.0,180.0,1.0,Urban,Y,548464.0
LP001824,Male,Yes,1.0,Graduate,No,239206,152969.0,10209.0,480.0,1.0,Semiurban,Y,392175.0
LP001825,Male,Yes,0.0,Graduate,No,150147,155044.0,7470.0,360.0,1.0,Urban,Y,305191.0
LP001835,Male,Yes,0.0,Not Graduate,No,138444,322870.0,16683.0,360.0,0.0,Semiurban,N,461314.0
LP001836,Female,No,2.0,Graduate,No,284441,0.0,11454.0,360.0,1.0,Urban,N,284441.0
LP001841,Male,No,0.0,Not Graduate,Yes,214389,179861.0,8632.0,360.0,1.0,Rural,Y,394250.0
